Institution Name,Clearing Code,Branch Name,Branch Code,Branch Address,Telephone Number,Clearing System Status*
HANG SENG BANK LTD,024,Sun Kwai Hing Plaza Branch,374,Shop B  2/F. Sun Kwai Hing Plaza  168 Hing Fong Road  Kwai Chung  Hong Kong,2998 6262,MDDM
HANG SENG BANK LTD,024,Ma On Shan Branch,375,Shop Nos. 256-257  Level 2  Ma On Shan Plaza  No. 608 Sai Sha Road  Ma On Shan  New Territories  Hong Kong,2998 6262,MDDM
HANG SENG BANK LTD,024,Sai Kung Branch,376,Shop No. 111  Level 1  East Point Point City  Tseung Kwan O  Hong Kong,2998 6262,MDDM
HANG SENG BANK LTD,024,Hung Hom Branch,377,21 Ma Tau Wai Road  Hong Kong,2998 6262,MDDM
HANG SENG BANK LTD,024,Johnston Road Branch,378,142 Johnston Road  Wanchai  Hong Kong,2998 6262,MDDM
HANG SENG BANK LTD,024,Telford House Branch,379,Shop 3B  1/F  Telford House  16 Wang Hoi Road  Kowloon Bay  Kowloon  Hong Kong,2998 6262,MDDM
HANG SENG BANK LTD,024,Chai Wan Branch,380,Units Nos. A1A  A1B and A2  G/F  Man Foong Industrial Building  7 Cheung Lee Street  Chai Wan  Hong Kong,2998 6262,MDDM
HANG SENG BANK LTD,024,San Po Kong Branch,381,56 Tseuk Luk Street  Hong Kong,2998 6262,MDDM
HANG SENG BANK LTD,024,Pei Ho Street Branch,382,151 Pei Ho Street  Kowloon  Hong Kong,2998 6262,MDDM
HANG SENG BANK LTD,024,Yun Ping Road Branch,383,Shop Nos. 2-10 and 11-12  Lower Ground Floor  Lee Gardens Two  28 Yun Ping Road  Causeway Bay  Hong Kong,2998 6262,MDDM
HANG SENG BANK LTD,024,Castle Peak Road Branch,384,339 Castle Peak Road  Hong Kong,2998 6262,MDDM
HANG SENG BANK LTD,024,Kowloon Main Branch,385,618 Nathan Road  Kowloon  Hong Kong,2998 6262,MDDM
HANG SENG BANK LTD,024,Head Office,388,83 Des Voeux Road Central  Central  Hong Kong,2998 6262,MDDM
HANG SENG BANK LTD,024,Wanchai Branch,390,1/F  Allied Kajima Building  138 Gloucester Road  Wanchai  Hong Kong,2998 6262,MDDM
HANG SENG BANK LTD,024,To Kwa Wan Branch,391,33 To Kwa Wan Road  Hong Kong,2998 6262,MDDM
HANG SENG BANK LTD,024,Hung Hom Branch,394,21 Ma Tau Wai Road  Hong Kong,2998 6262,MDDM
HANG SENG BANK LTD,024,Head Office,395,83 Des Voeux Road Central  Central  Hong Kong,2998 6262,MDDM
HANG SENG BANK LTD,024,Head Office,397,83  Des Voeux Road Central  Hong Kong,2998 6262,MDDM
HANG SENG BANK LTD,024,Remittance Department,399,83 Des Voeux Road Central  Hong Kong,2198 1111,MDDM
HANG SENG BANK LTD,024,Head Office,752,83 Des Voeux Road Central  Central  Hong Kong,2998 6262,MDDM
HANG SENG BANK LTD,024,Polytechnic University Branch,753,Room VA207  Shaw Amenities Building  HK Polytechnic University  Kowloon  Hong Kong,2998 6262,MDDM
HANG SENG BANK LTD,024,Chinese University Branch,754,Room 101  John Fulton Centre  The Chinese University of HK  Shatin  Hong Kong,2998 6262,MDDM
HANG SENG BANK LTD,024,MTR Kowloon Station Office,755,TCL Kowloon Station Concourse  Hong Kong,2998 6262,MDDM
HANG SENG BANK LTD,024,Kowloon Main Branch,758,618 Nathan Road  Kowloon  Hong Kong,2998 6262,MDDM
HANG SENG BANK LTD,024,Maritime Square Branch,759,Shop 108B  Level 1  Maritime Square  Tsing Yi  New Territories  Hong Kong,2998 6262,MDDM
HANG SENG BANK LTD,024,MTR Tung Chung Station Office,761,TCL Tung Chung Station Concourse  Hong Kong,2998 6262,MDDM
HANG SENG BANK LTD,024,Kowloon City Branch,762,360 Prince Edward Road  Kowloon  Hong Kong,2998 6262,MDDM
HANG SENG BANK LTD,024,Hoi Yuen Road Branch,763,55 Hoi Yuen Road  Kwun Tong  Kowloon  Hong Kong,2998 6262,MDDM
HANG SENG BANK LTD,024,Sheung Kwai Chung Branch,764,50 Shek Yam Road  Sheung Kwai Chung  Hong Kong,2998 6262,MDDM
HANG SENG BANK LTD,024,Tuen Mun Heung Sze Wui Road Branch,765,Shops 6-7 on G/F and the whole 1/F  Ming Wai Building  No. 4-26 Tuen Mun Heung Sze Wui Road  Tuen Mun  New Territories  Hong Kong,2998 6262,MDDM
HANG SENG BANK LTD,024,East Point City Branch,766,Shop No. 217C  Level 2  East Point City  Tseung Kwan O  Kowloon  Hong Kong,2998 6262,MDDM
HANG SENG BANK LTD,024,Chai Wan Branch,767,Units Nos. A1A  A1B and A2  G/F  Man Foong Industrial Building  7 Cheung Lee Street  Chai Wan  Hong Kong,2998 6262,MDDM
HANG SENG BANK LTD,024,Maritime Square Branch,768,Shop 108B  Level 1  Maritime Square  Tsing Yi  New Territories  Hong Kong,2998 6262,MDDM
HANG SENG BANK LTD,024,Yun Ping Road Branch,769,Shop Nos. 2-10 and 11-12  Lower Ground Floor  Lee Gardens Two  28 Yun Ping Road  Causeway Bay  Hong Kong,2998 6262,MDDM
HANG SENG BANK LTD,024,Shatin Branch,770,Shop 18  Lucky Plaza  1-15 Wang Pok Street  Shatin  New Territories  Hong Kong,2998 6262,MDDM
HANG SENG BANK LTD,024,Yuen Long (Kau Yuk Road) Branch,771,1/F  Fu Ho Building  5 Kau Yuk Road  Yuen Long  New Territories  Hong Kong,2998 6262,MDDM
HANG SENG BANK LTD,024,Wanchai Business Banking Centre,772,Room 2204-6  Tai Tung Building  8 Fleming Road  Wanchai  Hong Kong,2998 6262,MDDM
HANG SENG BANK LTD,024,Head Office,773,83 Des Voeux Road Central  Central  Hong Kong,2998 6262,MDDM
HANG SENG BANK LTD,024,Shatin Branch,774,Shop 18  Lucky Plaza  1-15 Wang Pok Street  Shatin  New Territories  Hong Kong,2998 6262,MDDM
HANG SENG BANK LTD,024,Yaumati Branch,775,363 Nathan Road  Kowloon  Hong Kong,2998 6262,MDDM
HANG SENG BANK LTD,024,Johnston Road Branch,776,142 Johnston Road  Wanchai  Hong Kong,2998 6262,MDDM
HANG SENG BANK LTD,024,Tai Ho Road Branch,777,30 Tai Ho Road  Tsuen Wan  Hong Kong,2998 6262,MDDM
HANG SENG BANK LTD,024,Telford House Branch,778,Shop 3B  1/F  Telford House  16 Wang Hoi Road  Kowloon Bay  Kowloon  Hong Kong,2998 6262,MDDM
HANG SENG BANK LTD,024,Telford House Branch,779,Shop 3B  1/F  Telford House  16 Wang Hoi Road  Kowloon Bay  Kowloon  Hong Kong,2998 6262,MDDM
HANG SENG BANK LTD,024,Prince Edward Road Branch,780,141 Prince Edward Road  Kowloon  Hong Kong,2998 6262,MDDM
HANG SENG BANK LTD,024,Kowloon Bay Prestige and Preferred Banking Centre,781,Shop P18  Telford Gardens  Kowloon Bay  Kowloon  Hong Kong,2998 6262,MDDM
HANG SENG BANK LTD,024,City Garden Prestige and Preferred Banking Centre,782,G/F  233 Electric Road  North Point  Hong Kong,2998 6262,MDDM
HANG SENG BANK LTD,024,Quarry Bay Branch,783,989 King's Road  Hong Kong,2998 6262,MDDM
HANG SENG BANK LTD,024,Cheung Sha Wan Business Banking Centre,785,Unit M01A  M/F  Cheung Sha Wan Plaza  833 Cheung Sha Wan Road  Kowloon  Hong Kong,2998 6262,MDDM
HANG SENG BANK LTD,024,Hankow Road Branch,786,G/F  No. 4 Hankow Road  Kowloon  Hong Kong,2998 6262,MDDM
HANG SENG BANK LTD,024,Head  Office,787,83 Des Voeux Road Central  Central  Hong Kong,2998 6262,MDDM
HANG SENG BANK LTD,024,Kowloon Main Branch,788,618 Nathan Road  Kowloon  Hong Kong,2998 6262,MDDM
HANG SENG BANK LTD,024,Kowloon Main Branch,789,618 Nathan Road  Kowloon  Hong Kong,2998 6262,MDDM
HANG SENG BANK LTD,024,Tam Kung Road Branch,790,38 Tam Kung Road  Hong Kong,2998 6262,MDDM
HANG SENG BANK LTD,024,East Point City Branch,791,Shop No. 217C  Level 2  East Point City  Tseung Kwan O  Kowloon  Hong Kong,2998 6262,MDDM
HANG SENG BANK LTD,024,Tsz Wan Shan Branch,792,63 Fung Tak Road  Tsz Wan Shan  Kowloon  Hong Kong,2998 6262,MDDM
HANG SENG BANK LTD,024,Happy Valley Prestige and Preferred Banking Centre,793,76 Village Road  Happy Valley  Hong Kong,2998 6262,MDDM
HANG SENG BANK LTD,024,Central Prestige and Preferred Banking Centre,794,B/F  Loke Yew Building  50 - 52 Queen's Road Central  Hong Kong,2998 6262,MDDM
HANG SENG BANK LTD,024,Tai Po Branch,795,35 Kwong Fuk Road  Tai Po  New Territories  Hong Kong,2998 6262,MDDM
HANG SENG BANK LTD,024,Mei Foo Plaza Prestige and Preferred Banking Centre,796,Portion of Shops 99A on G/F and R. P. of 103A on 1/F  Nos. 69-119 Broadway  Mei Foo Sun Chuen  Kowloon  Hong Kong,2998 6262,MDDM
HANG SENG BANK LTD,024,Ma On Shan Branch,797,Shop Nos. 256-257  Level 2  Ma On Shan Plaza  No. 608 Sai Sha Road  Ma On Shan  New Territories  Hong Kong,2998 6262,MDDM
HANG SENG BANK LTD,024,PopCorn Prestige and Preferred Banking Centre,798,Shop G63  PopCorn  9 Tong Chun Street  Tseung Kwan O  Hong Kong,2998 6262,MDDM
HANG SENG BANK LTD,024,Kwun Tong Prestige and Preferred Banking Centre,799,Shop 7  1/F  Crocodile Center  79 Hoi Yuen Road  Kwun Tong  Kowloon  Hong Kong,2998 6262,MDDM
HANG SENG BANK LTD,024,Yuen Long Prestige and Preferred Banking Centre,920,93 Castle Peak Road  Yuen Long  New Territories  Hong Kong,2998 6262,MDDM
HANG SENG BANK LTD,024,Hankow Road Branch,921,G/F  No. 4 Hankow Road  Kowloon  Hong Kong,2998 6262,MDDM
HANG SENG BANK LTD,024,Waterloo Road Prestige & Preferred Banking Centre,922,86 Waterloo Road  Hong Kong,2998 6262,MDDM
HANG SENG BANK LTD,024,Head  Office,923,83 Des Voeux Road Central  Central  Hong Kong,2998 6262,MDDM
HANG SENG BANK LTD,024,Chung On Street Branch,924,38 Chung On Street  Tsuen Wan  New Territories  Hong Kong,2998 6262,MDDM
HANG SENG BANK LTD,024,Maritime Square Prestige and Preferred Banking Centre,925,Shop Unit 309A  Level 3  Maritime Square  Tsing Yi  Hong Kong,2998 6262,MDDM
HANG SENG BANK LTD,024,Ma On Shan Branch,926,Shop Nos. 256-257  Level 2  Ma On Shan Plaza  No. 608 Sai Sha Road  Ma On Shan  New Territories  Hong Kong,2998 6262,MDDM
HANG SENG BANK LTD,024,Luk Yeung Galleria Prestige and Preferred Banking Centre,927,Shop Unit F21A  1/F Luk Yeung Galleria  Tsuen Wan  New Territories  Hong Kong,2998 6262,MDDM
HANG SENG BANK LTD,024,Yun Ping Road Branch,928,Shop Nos. 2-10 and 11-12  Lower Ground Floor  Lee Gardens Two  28 Yun Ping Road  Causeway Bay  Hong Kong,2998 6262,MDDM
HANG SENG BANK LTD,024,Mongkok Prestige and Preferred Banking Centre,929,677 Nathan Road  Kowloon  Hong Kong,2998 6262,MDDM
HANG SENG BANK LTD,024,Shek Tong Tsui Prestige and Preferred Banking Centre,930,486 Queen's Road West  Hong Kong,2998 6262,MDDM
HANG SENG BANK LTD,024,Shatin Branch,931,Shop 18  Lucky Plaza  1-15 Wang Pok Street  Shatin  New Territories  Hong Kong,2998 6262,MDDM
HANG SENG BANK LTD,024,Whampoa Estate Prestige and Preferred Banking Centre,932,46 Tak Man Street  Hung Hom  Hong Kong,2998 6262,MDDM
HANG SENG BANK LTD,024,Causeway Bay Prestige and Preferred Banking Centre,933,G/F-4/F  28 Yee Wo Street  Causeway Bay  Hong Kong,2998 6262,MDDM
HANG SENG BANK LTD,024,Sheung Shui Sales and Service Centre,934,Shop Nos. 1040  1041 & 1042 on Level 1 of the Podium of Sheung Shui Centre  No. 3 Chi Cheong Road  Sheung Shui  N. T.  Hong Kong,2998 6262,MDDM
HANG SENG BANK LTD,024,Mongkok Sales and Service Centre,935,Shop No. 4  Ground floor  Foo Tat Building  50 Soy Street  Mongkok  Kowloon  Hong Kong,2998 6262,MDDM
HANG SENG BANK LTD,024,Kwun Tong Sales and Service Centre,936,Main Lobby  Yen Sheng Centre  No. 64 Hoi Yuen Road  Kwun Tong  Kowloon  Hong Kong,2998 6262,MDDM
HANG SENG BANK LTD,024,Tuen Mun Heung Sze Wui Road Branch,937,Shops 6-7 on G/F and the whole 1/F  Ming Wai Building  No. 4-26 Tuen Mun Heung Sze Wui Road  Tuen Mun  New Territories  Hong Kong,2998 6262,MDDM
HANG SENG BANK LTD,024,Tuen Mun Town Plaza Prestige and Preferred Banking Centre,938,Shop No. 28 Upper G/F  Tuen Mun Town Plaza Phase 2  Tuen Mun  New Territories  Hong Kong,2998 6262,MDDM
HANG SENG BANK LTD,024,Olympian City Branch,939,Shop Nos. UG18  UG19  UG20 & UG21 on Upper Ground Floor  Olympian City 1  Mongkok  Kowloon  Hong Kong,2998 6262,MDDM
HANG SENG BANK LTD,024,Tin Hau Prestige and Preferred Banking Centre,940,Ground Floor  Grand Seaview Heights  No.1 Ngan Mok Street  Tin Hau  Hong Kong,2998 6262,MDDM
HANG SENG BANK LTD,024,Shatin Sales and Service Centre,941,Shop Nos. 72A  72B  72C and 73 on Level 3  Shatin Lucky Plaza  Nos. 1-15 Wang Pok Street  Shatin  New Territories  Hong Kong,2998 6262,MDDM
HANG SENG BANK LTD,024,Yau Tong Sales and Service Centre,942,Shop No. 103  First Floor  Domain  Yau Tong  Kowloon  Hong Kong,2998 6262,MDDM
HANG SENG BANK LTD,024,Head Office,948,83  Des Voeux Road Central  Hong Kong,2998 6262,MDDM
HANG SENG BANK LTD,024,Mongkok Prestige and Preferred Banking Centre,950,677 Nathan Road  Kowloon  Hong Kong,2998 6262,MDDM
HDFC BANK LTD.,308,Hong Kong Branch,720,Suite 1707  17th Floor  Tower 1  The Gateway  Harbour City  Kowloon  Hong Kong,3107 2973,MINN
HONG KONG MONETARY AUTHORITY,888,HKD Clearing Settlement Institution,001,55/F  Two International Finance Centre  8 Finance Street  Central  Hong Kong,2878 8196,MDDM
HONG KONG MONETARY AUTHORITY CMU,809,Not provided,,55/F  Two International Finance Centre  8 Finance Street  Central  Hong Kong,2878 8147 2878 8148 2878 8149,NNNM
HONG KONG MONETARY AUTHORITY - SUB-ACCOUNT,808,Not provided,,55/F  Two International Finance Centre  8 Finance Street  Central  Hong Kong,2878 8237 2878 8240 2878 1895,NNNM
HONG LEONG BANK BERHAD,248,Hong Kong Branch,653,50th Floor  The Center  99 Queen's Road Central  Hong Kong,2283 8833,MDNM
HSBC BANGLADESH,450,Dhaka Branch,001,Anchor Tower  5th Floor  1/1B Sonarhaow Road  Dhaka 1205  Bangladesh,Not provided,NCNN
HSBC BANK MALAYSIA BERHAD,457,Kuala Lumpur Branch,001,Myh Finance Accounting  13th Floor HSBC Building  No. 2 Leboh Ampang  Kuala Lumpur  50100  Malaysia,Not provided,NCNN
HSBC BANK PLC,347,London Branch,002,HSBC Bank Plc  Network Management  Level 27  8 Canada Square  London  E14 5HQ,Not provided,NNNM
HSBC BANK USA  NATIONAL ASSOCIATION,106,Hong Kong Branch,507,Room 228  2/F.  North Office Block  Super Terminal 1  Hong Kong International Airport  Hong Kong,2844 1207 2844 1201,MNNN
HSBC BANK VIETNAM LTD,466,Ho Chi Minh City Branch,001,New World Hotel Building  75 Pham Hong Thai  District 1  Ho Chi Minh City  Vietnam,Not provided,NCNN
HSBC BRUNEI,451,Brunei Branch,001,P O Box 59  Bandar Seri Begawan BS8670 Brunei Darussalam,Not provided,NCNN
HSBC INDIA,452,Mumbai Branch,001,1NM FCD  52/60 Mahatma Gandhi Road  Mumbai 400001  India,Not provided,NCNN
HSBC JAPAN,454,Tokyo Branch,001,HSBC Building  11-1  Nihenbashi 3-Chome. Chuo-Ku  Tokyo 103-0027  Japan,Not provided,NCNN
HSBC MACAU,456,Macau Branch,001,N-639  Ave. Da Praia Grande  EDF. Si Toi  Macau,Not provided,NCNN
HSBC MANILA,458,Manila Branch,001,The Enterprise Center Tower 1 6766 Ayala Avenue Corner Paseo De Roxas Makati City 1200 Philippines,Not provided,NCNN
HSBC PRIVATE BANK (SUISSE) SA,235,Hong Kong Branch,770,Level 13  1 Queen's Road  Central  Hong Kong,3604 6877,MNNN
HSBC SEOUL BRANCH,460,Seoul Branch,001,HSBC Bldg #25  1-Ka  Bongrae-Dong  Chung-Ku  Seoul  Korea,Not provided,NCNN
HSBC BANK (CHINA) COMPANY LIMITED,461,Shanghai Branch,001,35/F  HSBC Building  Shanghai ifc  8 Century Avenue  Lujiazui  Pudong  Shanghai 200120  The People's Republic of China,Not provided,NCNN
HSBC SINGAPORE,462,HSBC Builidng Branch,001,21 Collyer Quay #01-00 HSBC Building  049320  Singapore,Not provided,NCNN
HSBC SRI LANKA,463,Colombo Branch,001,24  Sir Baron Jayatillaka Mawatha  Colombo  Sri Lanka,Not provided,NCNN
HSBC BANK (TAIWAN) LIMITED,464,Taipei Branch,001,13/F  International Trade Building  333 Sec. 1  Keelung Road  Taipei 110  Taiwan,Not provided,NCNN
HSBC THAILAND,465,Bangkok Branch,001,64 Silom Road  Bangkok 10500  Thailand,Not provided,NCNN
HUA NAN COMMERCIAL BANK LTD,198,Hong Kong Branch,905,Suite 5601-03  56/F.  Central Plaza  18 Harbour Road  Wanchai  Hong Kong,2824 0288 2824 4882,MDNM
HUA NAN COMMERCIAL BANK LTD.  TAIPEI,550,Taipei Branch,001,9F  38  Sec. 1  Chung-King South Road  Taipei  Taiwan,Not provided,NCNN
HUA XIA BANK  BEIJING,468,Beijing Branch,001,R1109  Xidan International Mansion  No.111  Xidan North Ave. Beijing 100032  China,Not provided,NCNN
ICBC STANDARD BANK PLC,341,Hong Kong Branch,727,36/F.  Two Pacific Place  88 Queensway  Hong Kong,2822 7888,MNNN
ICICI BANK LIMITED,251,Hong Kong Branch,681,Unit 1504B-1505  15th Floor  International Commerce Centre  1 Austin Road West  Kowloon  Hong Kong,2234 2615,MDNM
ICICI BANK LIMITED,251,Connaught Road Central Branch,682,Shop 102-103  1/F  Chuang's Tower  30-32 Connaught Road Central  Central  Hong Kong,2234 2500,MDNM
INDIAN OVERSEAS BANK,050,Hong Kong Main Branch,892,3/F  No.11  Duddel St.  Central  Hong Kong,2522 7157 2526 3177,MINM
INDIAN OVERSEAS BANK,050,Tsim Sha Tsui Branch,897,2109-2110  21st Floor  Miramar Towers  132  Nathan Road  Tsim Sha Tsui  Kowloon  Hong Kong,2367 8079 2722 7432,MINM
INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ASIA) LTD,029,Central Branch,616,1/F  No. 9 Queen's Road C  Central  Hong Kong,2840 5840,MDNN
INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ASIA) LTD,029,Mongkok Branch,617,G/F  Belgian Bank Building  721-725 Nathan Road  Mongkok  Kowloon  Hong Kong,2309 7700,MDNN
INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ASIA) LTD,029,Tsuen Wan Castle Peak Road Branch,618,G/F  423-427 Castle Peak Road  Tsuen Wan  New Territories  Hong Kong,2492 0167,MDNN
INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ASIA) LTD,029,San Po Kong Branch,619,Shop G10  Yue Xiu Plaza  3-23 Ning Yuen Street  San Po Kong  Kowloon  Hong Kong,2325 5387,MDNN
INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ASIA) LTD,029,Mok Cheong Street Branch,620,12-14 Mok Cheong Street  Tokwawan  Kowloon  Hong Kong,2714 5151,MDNN
INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ASIA) LTD,029,Lai Chi Kok Branch,621,Shop G06  G/F  Cheung Sha Wan Plaza  833 Cheung Sha Wan Road  Lai Chi Kok  Kowloon  Hong Kong,2741 8787,MDNN
INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ASIA) LTD,029,Mok Cheong Street Branch,622,12-14 Mok Cheong Street  Tokwawan  Kowloon  Hong Kong,2714 5151,MDNN
INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ASIA) LTD,029,Kwun Tong Branch,623,G/F  Lemmi Centre  50 Hoi Yuen Road  Kwun Tong  Kowloon  Hong Kong,2342 0103,MDNN
INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ASIA) LTD,029,Quarry Bay Branch,624,G/F  1036-1040 King's Road  Quarry Bay  Hong Kong,2563 8724,MDNN
INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ASIA) LTD,029,Oi Man Branch,625,Shop F18 & F19  Oi Man Commercial Complex  Oi Man Estate  Homantin  Kowloon  Hong Kong,2713 9261,MDNN
INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ASIA) LTD,029,Tai Wo Branch,627,Shop 216  2/F  Tai Wo Shopping Centre  Tai Wo Estate  Tai Po  New Territories  Hong Kong,2650 2986,MDNN
INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ASIA) LTD,029,Tai Hing Branch,628,Shop 21-23 Tai Hing Commercial Complex  Tai Hing Estate  Tuen Mun  New Territories  Hong Kong,2462 2400,MDNN
INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ASIA) LTD,029,Tsim Sha Tsui Branch,629,Shop 6-7  G/F.  Hankow Centre  5-15  Hankow Road  Tsimshatsui  Kowloon  Hong Kong,2369 5329,MDNN
INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ASIA) LTD,029,Gloucester Road Branch,630,117-123 Hennessy Road  Wanchai  Hong Kong,2520 2710,MDNN
INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ASIA) LTD,029,Kwun Tong Branch,631,G/F  Lemmi Centre  50 Hoi Yuen Road  Kwun Tong  Kowloon  Hong Kong,2342 0103,MDNN
INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ASIA) LTD,029,Sha Tsui Road Branch,632,Shop 4  G/F Chung On Building  297-313 Sha Tsui Road  Tsuen Wan  New Territories  Hong Kong,2439 9278,MDNN
INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ASIA) LTD,029,Tsim Sha Tsui Branch,633,Shop 6-7  G/F.  Hankow Centre  5-15  Hankow Road  Tsimshatsui  Kowloon  Hong Kong,2369 5329,MDNN
INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ASIA) LTD,029,Central Branch,634,1/F  No. 9 Queen's Road C  Central  Hong Kong,2840 5840,MDNN
INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ASIA) LTD,029,Tai Wo Branch,635,Shop 216  2/F  Tai Wo Shopping Centre  Tai Wo Estate  Tai Po  New Territories  Hong Kong,2650 2986,MDNN
INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ASIA) LTD,029,Hennessy Road Branch,636,Shop 2A  G/F & Basement  Cameron Commercial Centre  468 Hennessy Road  Causeway Bay  Hong Kong,2834 6148,MDNN
INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ASIA) LTD,029,Kwun Tong Branch,637,G/F  Lemmi Centre  50 Hoi Yuen Road  Kwun Tong  Kowloon  Hong Kong,2342 0103,MDNN
INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ASIA) LTD,029,Mok Cheong Street Branch,638,12-14 Mok Cheong Street  Tokwawan  Kowloon  Hong Kong,2714 5151,MDNN
INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ASIA) LTD,029,Sha Tsui Road Branch,639,Shop 4  G/F Chung On Building  297-313 Sha Tsui Road  Tsuen Wan  New Territories  Hong Kong,2439 9278,MDNN
INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ASIA) LTD,029,Lai Chi Kok Branch,640,Shop G06  G/F  Cheung Sha Wan Plaza  833 Cheung Sha Wan Road  Lai Chi Kok  Kowloon  Hong Kong,2741 8787,MDNN
INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ASIA) LTD,029,Quarry Bay Branch,641,G/F  1036-1040 King's Road  Quarry Bay  Hong Kong,2563 8724,MDNN
INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ASIA) LTD,029,Shamshuipo Branch,642,G/F  290 Lai Chi Kok Road  Shamshuipo  Kowloon  Hong Kong,2725 5133,MDNN
INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ASIA) LTD,029,Sha Tsui Road Branch,643,Shop 4  G/F Chung On Building  297-313 Sha Tsui Road  Tsuen Wan  New Territories  Hong Kong,2439 9278,MDNN
INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ASIA) LTD,029,Yaumatei Branch,644,542 Nathan Road  Yaumatei  Kowloon  Hong Kong,2771 6060,MDNN
INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ASIA) LTD,029,Central Branch,645,1/F  No. 9 Queen's Road C  Central  Hong Kong,2840 5840,MDNN
INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ASIA) LTD,029,Jordan Branch,646,Shops 1C & 1D  G/F Austin Plaza  83 Austin Road  Jordan  Kowloon  Hong Kong,2376 1822,MDNN
INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ASIA) LTD,029,North Point Branch,647,Shop B2  G/F  Hang Ying House  318-328  King's Road  North Point  Hong Kong,2503 2993,MDNN
INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ASIA) LTD,029,Shatin Branch,648,Shop 22J  Level 3  Shatin Centre  Shatin  New Territories  Hong Kong,2693 3330,MDNN
INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ASIA) LTD,029,Caine Road Branch,649,G/F.  Caine Building  22 Caine Road  Hong Kong,2526 6278,MDNN
INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ASIA) LTD,029,Yuen Long Branch,650,G/F  197-199  Castle Peak Road  Yuen Long  New Territories  Hong Kong,2442 5005,MDNN
INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ASIA) LTD,029,Des Voeux Road Central Branch,680,Shop B2  G/F Sam Cheong Building  220 Des Voeux Road Central  Hong Kong & 11/F  Ka Wah Bank Centre  232 Des Voeux Road Central  HK,2960 1611,MDNN
INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ASIA) LTD,072,Central Branch,701,1/F  No. 9 Queen's Road C  Central  Hong Kong,2840 5840,MDDM
INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ASIA) LTD,072,Mongkok Branch,702,G/F  Belgian Bank Building  721-725 Nathan Road  Mongkok  Kowloon  Hong Kong,2309 7700,MDDM
INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ASIA) LTD,072,Tsuen Wan Castle Peak Road Branch,703,G/F  423-427 Castle Peak Road  Tsuen Wan  New Territories  Hong Kong,2492 0167,MDDM
INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ASIA) LTD,072,San Po Kong Branch,704,Shop G10  Yue Xiu Plaza  3-23 Ning Yuen Street  San Po Kong  Kowloon  Hong Kong,2325 5387,MDDM
INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ASIA) LTD,072,Mok Cheong Street Branch,705,12-14 Mok Cheong Street  Tokwawan  Kowloon  Hong Kong,2714 5151,MDDM
INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ASIA) LTD,072,Quarry Bay Branch,706,Shop SLG1  Sub-Lower Ground Floor  Westlands Gardens  Nos. 2-12  Westlands Road  Quarry Bay  Hong Kong,2563 8724,MDDM
INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ASIA) LTD,072,Oi Man Branch,707,Shop F18 & F19  Oi Man Commercial Complex  Oi Man Estate  Homantin  Kowloon  Hong Kong,2713 9261,MDDM
INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ASIA) LTD,072,Tai Hing Branch,708,Shop 21-23 Tai Hing Commercial Complex  Tai Hing Estate  Tuen Mun  New Territories  Hong Kong,2462 2400,MDDM
